[2025-07-12T00:14:39.184Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2ee88234-a32c-49d3-9940-452a2a25ba4a&response_mode=fragment&response_type=code&scope=openid&nonce=360e61c5-dc97-46b4-8525-edec37f3856c - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:14:39.186Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2ee88234-a32c-49d3-9940-452a2a25ba4a&response_mode=fragment&response_type=code&scope=openid&nonce=360e61c5-dc97-46b4-8525-edec37f3856c - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:14:51.379Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk1ODAsImlhdCI6MTc1MjI3OTI4MCwiYXV0aF90aW1lIjoxNzUyMjc5Mjc5LCJqdGkiOiJjN2Q5MmQ1OS05NjllLTRkOGItODlmMi03YThhNDUyYWMzMDIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.YDZOEPcj5WrZNs2P5G0ZMy1gBMGlV5uD8euRKV0_sfuOMJrVruAnEldXL2es35baqCBgKR22smcPXYYMBodoJYjPSn94sSMX2l0PDHi3-NHh0TUkFhsQmMVQSNUsymIyq3CAYh49fPXMuoip-l-x2CdM8pqot0JxWgnpu9Q_ftoJoigQs6H4CH_3VRMC-DKHYM7_CsWbP5GKSVKQZYVeA63NUAg7ikgnrbLNG0eXFStw8xP3rllbTaIwqVkNAKEw999bcBlHgwP43IE4_OLAqcwSlgQrbO0UG7q3vabrM2PwL9hooYwucTZbNaWyoJ-hDRW3vFxXN-rI8iAvMNuQ6g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:14:53.405Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk1ODAsImlhdCI6MTc1MjI3OTI4MCwiYXV0aF90aW1lIjoxNzUyMjc5Mjc5LCJqdGkiOiJjN2Q5MmQ1OS05NjllLTRkOGItODlmMi03YThhNDUyYWMzMDIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.YDZOEPcj5WrZNs2P5G0ZMy1gBMGlV5uD8euRKV0_sfuOMJrVruAnEldXL2es35baqCBgKR22smcPXYYMBodoJYjPSn94sSMX2l0PDHi3-NHh0TUkFhsQmMVQSNUsymIyq3CAYh49fPXMuoip-l-x2CdM8pqot0JxWgnpu9Q_ftoJoigQs6H4CH_3VRMC-DKHYM7_CsWbP5GKSVKQZYVeA63NUAg7ikgnrbLNG0eXFStw8xP3rllbTaIwqVkNAKEw999bcBlHgwP43IE4_OLAqcwSlgQrbO0UG7q3vabrM2PwL9hooYwucTZbNaWyoJ-hDRW3vFxXN-rI8iAvMNuQ6g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:14:55.423Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk1ODAsImlhdCI6MTc1MjI3OTI4MCwiYXV0aF90aW1lIjoxNzUyMjc5Mjc5LCJqdGkiOiJjN2Q5MmQ1OS05NjllLTRkOGItODlmMi03YThhNDUyYWMzMDIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.YDZOEPcj5WrZNs2P5G0ZMy1gBMGlV5uD8euRKV0_sfuOMJrVruAnEldXL2es35baqCBgKR22smcPXYYMBodoJYjPSn94sSMX2l0PDHi3-NHh0TUkFhsQmMVQSNUsymIyq3CAYh49fPXMuoip-l-x2CdM8pqot0JxWgnpu9Q_ftoJoigQs6H4CH_3VRMC-DKHYM7_CsWbP5GKSVKQZYVeA63NUAg7ikgnrbLNG0eXFStw8xP3rllbTaIwqVkNAKEw999bcBlHgwP43IE4_OLAqcwSlgQrbO0UG7q3vabrM2PwL9hooYwucTZbNaWyoJ-hDRW3vFxXN-rI8iAvMNuQ6g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:14:57.439Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk1ODAsImlhdCI6MTc1MjI3OTI4MCwiYXV0aF90aW1lIjoxNzUyMjc5Mjc5LCJqdGkiOiJjN2Q5MmQ1OS05NjllLTRkOGItODlmMi03YThhNDUyYWMzMDIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.YDZOEPcj5WrZNs2P5G0ZMy1gBMGlV5uD8euRKV0_sfuOMJrVruAnEldXL2es35baqCBgKR22smcPXYYMBodoJYjPSn94sSMX2l0PDHi3-NHh0TUkFhsQmMVQSNUsymIyq3CAYh49fPXMuoip-l-x2CdM8pqot0JxWgnpu9Q_ftoJoigQs6H4CH_3VRMC-DKHYM7_CsWbP5GKSVKQZYVeA63NUAg7ikgnrbLNG0eXFStw8xP3rllbTaIwqVkNAKEw999bcBlHgwP43IE4_OLAqcwSlgQrbO0UG7q3vabrM2PwL9hooYwucTZbNaWyoJ-hDRW3vFxXN-rI8iAvMNuQ6g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:14:59.406Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk1ODAsImlhdCI6MTc1MjI3OTI4MCwiYXV0aF90aW1lIjoxNzUyMjc5Mjc5LCJqdGkiOiJjN2Q5MmQ1OS05NjllLTRkOGItODlmMi03YThhNDUyYWMzMDIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.YDZOEPcj5WrZNs2P5G0ZMy1gBMGlV5uD8euRKV0_sfuOMJrVruAnEldXL2es35baqCBgKR22smcPXYYMBodoJYjPSn94sSMX2l0PDHi3-NHh0TUkFhsQmMVQSNUsymIyq3CAYh49fPXMuoip-l-x2CdM8pqot0JxWgnpu9Q_ftoJoigQs6H4CH_3VRMC-DKHYM7_CsWbP5GKSVKQZYVeA63NUAg7ikgnrbLNG0eXFStw8xP3rllbTaIwqVkNAKEw999bcBlHgwP43IE4_OLAqcwSlgQrbO0UG7q3vabrM2PwL9hooYwucTZbNaWyoJ-hDRW3vFxXN-rI8iAvMNuQ6g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:15:01.435Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk1ODAsImlhdCI6MTc1MjI3OTI4MCwiYXV0aF90aW1lIjoxNzUyMjc5Mjc5LCJqdGkiOiJjN2Q5MmQ1OS05NjllLTRkOGItODlmMi03YThhNDUyYWMzMDIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.YDZOEPcj5WrZNs2P5G0ZMy1gBMGlV5uD8euRKV0_sfuOMJrVruAnEldXL2es35baqCBgKR22smcPXYYMBodoJYjPSn94sSMX2l0PDHi3-NHh0TUkFhsQmMVQSNUsymIyq3CAYh49fPXMuoip-l-x2CdM8pqot0JxWgnpu9Q_ftoJoigQs6H4CH_3VRMC-DKHYM7_CsWbP5GKSVKQZYVeA63NUAg7ikgnrbLNG0eXFStw8xP3rllbTaIwqVkNAKEw999bcBlHgwP43IE4_OLAqcwSlgQrbO0UG7q3vabrM2PwL9hooYwucTZbNaWyoJ-hDRW3vFxXN-rI8iAvMNuQ6g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:15:03.750Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk1ODAsImlhdCI6MTc1MjI3OTI4MCwiYXV0aF90aW1lIjoxNzUyMjc5Mjc5LCJqdGkiOiJjN2Q5MmQ1OS05NjllLTRkOGItODlmMi03YThhNDUyYWMzMDIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.YDZOEPcj5WrZNs2P5G0ZMy1gBMGlV5uD8euRKV0_sfuOMJrVruAnEldXL2es35baqCBgKR22smcPXYYMBodoJYjPSn94sSMX2l0PDHi3-NHh0TUkFhsQmMVQSNUsymIyq3CAYh49fPXMuoip-l-x2CdM8pqot0JxWgnpu9Q_ftoJoigQs6H4CH_3VRMC-DKHYM7_CsWbP5GKSVKQZYVeA63NUAg7ikgnrbLNG0eXFStw8xP3rllbTaIwqVkNAKEw999bcBlHgwP43IE4_OLAqcwSlgQrbO0UG7q3vabrM2PwL9hooYwucTZbNaWyoJ-hDRW3vFxXN-rI8iAvMNuQ6g' failed: Establishing a tunnel via proxy server failed.

