[2025-07-12T00:24:08.746Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b525845c-d2a2-4f81-b754-2b1e4808eb6b&response_mode=fragment&response_type=code&scope=openid&nonce=a254b942-65ed-4b94-ac7c-4c0820de21c2 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:24:08.747Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b525845c-d2a2-4f81-b754-2b1e4808eb6b&response_mode=fragment&response_type=code&scope=openid&nonce=a254b942-65ed-4b94-ac7c-4c0820de21c2 - Autofocus processing was blocked because a document already has a focused element.
[2025-07-12T00:24:35.055Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTAsImlhdCI6MTc1MjI3OTg1MCwiYXV0aF90aW1lIjoxNzUyMjc5ODQ5LCJqdGkiOiIxMmQzZmM5OS01YTg1LTQyOTAtYmVhZC1hY2RmN2UwZjc5M2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.elO0XO9OiGU-9jhylK5regCMaoLNA434EbSWC1RwptMmdSzv6LmP5hVkPR1l3a784cX8PPWJuIcud8s8yIP-YTgj5wlDNG_8MX5toePNKSWT3gttS8FKv4XA7izheaxureElvRmIPYByPsEprKWEYxU4IO5fEi442-anJhZwUfZ1yzCPM84pcXwE_-27qOLXDCpI1uU6zj43G9gbMMBoEoF-pbpW094WqiUtbT0xSELnX-efk6HnXgPiyyyIXlzd1nlAi_9jbagc9lJQIN399EKUQGr0_DrYZWfrltVUkcbIgTLMgDabJA6T_DwxueyPJP9A5XIVDGgXuIKSeLLg1w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:24:35.168Z] [SEVERE] http://localhost:81/api/v1/row-meta/myexample271/myExampleBc271/1100263 - Failed to load resource: the server responded with a status of 418 ()

[2025-07-12T00:24:35.173Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1:1442569 op

[2025-07-12T00:24:37.221Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTAsImlhdCI6MTc1MjI3OTg1MCwiYXV0aF90aW1lIjoxNzUyMjc5ODQ5LCJqdGkiOiIxMmQzZmM5OS01YTg1LTQyOTAtYmVhZC1hY2RmN2UwZjc5M2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.elO0XO9OiGU-9jhylK5regCMaoLNA434EbSWC1RwptMmdSzv6LmP5hVkPR1l3a784cX8PPWJuIcud8s8yIP-YTgj5wlDNG_8MX5toePNKSWT3gttS8FKv4XA7izheaxureElvRmIPYByPsEprKWEYxU4IO5fEi442-anJhZwUfZ1yzCPM84pcXwE_-27qOLXDCpI1uU6zj43G9gbMMBoEoF-pbpW094WqiUtbT0xSELnX-efk6HnXgPiyyyIXlzd1nlAi_9jbagc9lJQIN399EKUQGr0_DrYZWfrltVUkcbIgTLMgDabJA6T_DwxueyPJP9A5XIVDGgXuIKSeLLg1w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:24:39.284Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTAsImlhdCI6MTc1MjI3OTg1MCwiYXV0aF90aW1lIjoxNzUyMjc5ODQ5LCJqdGkiOiIxMmQzZmM5OS01YTg1LTQyOTAtYmVhZC1hY2RmN2UwZjc5M2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.elO0XO9OiGU-9jhylK5regCMaoLNA434EbSWC1RwptMmdSzv6LmP5hVkPR1l3a784cX8PPWJuIcud8s8yIP-YTgj5wlDNG_8MX5toePNKSWT3gttS8FKv4XA7izheaxureElvRmIPYByPsEprKWEYxU4IO5fEi442-anJhZwUfZ1yzCPM84pcXwE_-27qOLXDCpI1uU6zj43G9gbMMBoEoF-pbpW094WqiUtbT0xSELnX-efk6HnXgPiyyyIXlzd1nlAi_9jbagc9lJQIN399EKUQGr0_DrYZWfrltVUkcbIgTLMgDabJA6T_DwxueyPJP9A5XIVDGgXuIKSeLLg1w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:24:41.325Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTAsImlhdCI6MTc1MjI3OTg1MCwiYXV0aF90aW1lIjoxNzUyMjc5ODQ5LCJqdGkiOiIxMmQzZmM5OS01YTg1LTQyOTAtYmVhZC1hY2RmN2UwZjc5M2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.elO0XO9OiGU-9jhylK5regCMaoLNA434EbSWC1RwptMmdSzv6LmP5hVkPR1l3a784cX8PPWJuIcud8s8yIP-YTgj5wlDNG_8MX5toePNKSWT3gttS8FKv4XA7izheaxureElvRmIPYByPsEprKWEYxU4IO5fEi442-anJhZwUfZ1yzCPM84pcXwE_-27qOLXDCpI1uU6zj43G9gbMMBoEoF-pbpW094WqiUtbT0xSELnX-efk6HnXgPiyyyIXlzd1nlAi_9jbagc9lJQIN399EKUQGr0_DrYZWfrltVUkcbIgTLMgDabJA6T_DwxueyPJP9A5XIVDGgXuIKSeLLg1w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:24:43.577Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTAsImlhdCI6MTc1MjI3OTg1MCwiYXV0aF90aW1lIjoxNzUyMjc5ODQ5LCJqdGkiOiIxMmQzZmM5OS01YTg1LTQyOTAtYmVhZC1hY2RmN2UwZjc5M2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.elO0XO9OiGU-9jhylK5regCMaoLNA434EbSWC1RwptMmdSzv6LmP5hVkPR1l3a784cX8PPWJuIcud8s8yIP-YTgj5wlDNG_8MX5toePNKSWT3gttS8FKv4XA7izheaxureElvRmIPYByPsEprKWEYxU4IO5fEi442-anJhZwUfZ1yzCPM84pcXwE_-27qOLXDCpI1uU6zj43G9gbMMBoEoF-pbpW094WqiUtbT0xSELnX-efk6HnXgPiyyyIXlzd1nlAi_9jbagc9lJQIN399EKUQGr0_DrYZWfrltVUkcbIgTLMgDabJA6T_DwxueyPJP9A5XIVDGgXuIKSeLLg1w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:24:46.095Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTAsImlhdCI6MTc1MjI3OTg1MCwiYXV0aF90aW1lIjoxNzUyMjc5ODQ5LCJqdGkiOiIxMmQzZmM5OS01YTg1LTQyOTAtYmVhZC1hY2RmN2UwZjc5M2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.elO0XO9OiGU-9jhylK5regCMaoLNA434EbSWC1RwptMmdSzv6LmP5hVkPR1l3a784cX8PPWJuIcud8s8yIP-YTgj5wlDNG_8MX5toePNKSWT3gttS8FKv4XA7izheaxureElvRmIPYByPsEprKWEYxU4IO5fEi442-anJhZwUfZ1yzCPM84pcXwE_-27qOLXDCpI1uU6zj43G9gbMMBoEoF-pbpW094WqiUtbT0xSELnX-efk6HnXgPiyyyIXlzd1nlAi_9jbagc9lJQIN399EKUQGr0_DrYZWfrltVUkcbIgTLMgDabJA6T_DwxueyPJP9A5XIVDGgXuIKSeLLg1w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:24:50.047Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTAsImlhdCI6MTc1MjI3OTg1MCwiYXV0aF90aW1lIjoxNzUyMjc5ODQ5LCJqdGkiOiIxMmQzZmM5OS01YTg1LTQyOTAtYmVhZC1hY2RmN2UwZjc5M2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.elO0XO9OiGU-9jhylK5regCMaoLNA434EbSWC1RwptMmdSzv6LmP5hVkPR1l3a784cX8PPWJuIcud8s8yIP-YTgj5wlDNG_8MX5toePNKSWT3gttS8FKv4XA7izheaxureElvRmIPYByPsEprKWEYxU4IO5fEi442-anJhZwUfZ1yzCPM84pcXwE_-27qOLXDCpI1uU6zj43G9gbMMBoEoF-pbpW094WqiUtbT0xSELnX-efk6HnXgPiyyyIXlzd1nlAi_9jbagc9lJQIN399EKUQGr0_DrYZWfrltVUkcbIgTLMgDabJA6T_DwxueyPJP9A5XIVDGgXuIKSeLLg1w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:24:55.755Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTAsImlhdCI6MTc1MjI3OTg1MCwiYXV0aF90aW1lIjoxNzUyMjc5ODQ5LCJqdGkiOiIxMmQzZmM5OS01YTg1LTQyOTAtYmVhZC1hY2RmN2UwZjc5M2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.elO0XO9OiGU-9jhylK5regCMaoLNA434EbSWC1RwptMmdSzv6LmP5hVkPR1l3a784cX8PPWJuIcud8s8yIP-YTgj5wlDNG_8MX5toePNKSWT3gttS8FKv4XA7izheaxureElvRmIPYByPsEprKWEYxU4IO5fEi442-anJhZwUfZ1yzCPM84pcXwE_-27qOLXDCpI1uU6zj43G9gbMMBoEoF-pbpW094WqiUtbT0xSELnX-efk6HnXgPiyyyIXlzd1nlAi_9jbagc9lJQIN399EKUQGr0_DrYZWfrltVUkcbIgTLMgDabJA6T_DwxueyPJP9A5XIVDGgXuIKSeLLg1w' failed: Establishing a tunnel via proxy server failed.
